id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
82,82.0,372.0,290.0,180.0,248.32,1007.44,results/tripinfo_ai.xml
245,245.0,373.0,128.0,79.0,103.77,608.06,results/tripinfo_ai.xml
193,193.0,374.0,181.0,109.0,154.42,724.24,results/tripinfo_ai.xml
302,302.0,374.0,72.0,49.0,61.5,236.83,results/tripinfo_ai.xml
134,134.0,375.0,241.0,132.0,208.99,981.46,results/tripinfo_ai.xml
151,154.0,375.0,221.0,135.0,190.41,699.8,results/tripinfo_ai.xml
107,107.0,376.0,269.0,147.0,217.72,1309.3,results/tripinfo_ai.xml
67,67.0,378.0,311.0,243.0,285.7,479.14,results/tripinfo_ai.xml
228,228.0,378.0,150.0,63.0,116.86,907.97,results/tripinfo_ai.xml
235,235.0,378.0,143.0,54.0,109.72,764.93,results/tripinfo_ai.xml
57,57.0,380.0,323.0,183.0,277.09,1332.4,results/tripinfo_ai.xml
169,169.0,380.0,211.0,138.0,179.16,707.15,results/tripinfo_ai.xml
207,207.0,380.0,173.0,72.0,136.79,853.75,results/tripinfo_ai.xml
81,81.0,382.0,301.0,205.0,269.09,753.51,results/tripinfo_ai.xml
118,118.0,382.0,264.0,162.0,223.52,1020.48,results/tripinfo_ai.xml
222,222.0,382.0,160.0,79.0,126.91,659.07,results/tripinfo_ai.xml
190,190.0,385.0,195.0,122.0,165.57,657.5,results/tripinfo_ai.xml
55,55.0,388.0,333.0,194.0,282.34,1193.76,results/tripinfo_ai.xml
172,172.0,390.0,218.0,118.0,155.02,982.81,results/tripinfo_ai.xml
220,220.0,390.0,170.0,103.0,139.41,753.78,results/tripinfo_ai.xml
278,278.0,390.0,112.0,25.0,76.61,903.4,results/tripinfo_ai.xml
331,331.0,391.0,60.0,17.0,44.56,374.08,results/tripinfo_ai.xml
287,287.0,394.0,107.0,40.0,78.46,671.2,results/tripinfo_ai.xml
131,131.0,396.0,265.0,154.0,224.16,1156.06,results/tripinfo_ai.xml
197,197.0,397.0,200.0,89.0,147.31,890.67,results/tripinfo_ai.xml
180,180.0,407.0,227.0,99.0,173.69,1370.92,results/tripinfo_ai.xml
240,240.0,407.0,167.0,84.0,135.98,779.49,results/tripinfo_ai.xml
199,199.0,408.0,209.0,103.0,158.67,936.68,results/tripinfo_ai.xml
269,269.0,408.0,139.0,104.0,130.48,234.01,results/tripinfo_ai.xml
102,102.0,409.0,307.0,200.0,262.34,1104.46,results/tripinfo_ai.xml
159,159.0,412.0,253.0,106.0,201.15,1478.93,results/tripinfo_ai.xml
277,279.0,413.0,134.0,60.0,104.86,872.28,results/tripinfo_ai.xml
201,201.0,414.0,213.0,100.0,159.29,1194.78,results/tripinfo_ai.xml
210,210.0,414.0,204.0,125.0,173.07,884.66,results/tripinfo_ai.xml
166,167.0,415.0,248.0,170.0,217.86,797.96,results/tripinfo_ai.xml
294,294.0,416.0,122.0,51.0,96.75,613.99,results/tripinfo_ai.xml
349,349.0,416.0,67.0,0.0,32.5,645.04,results/tripinfo_ai.xml
275,275.0,419.0,144.0,64.0,113.01,811.97,results/tripinfo_ai.xml
306,306.0,420.0,114.0,60.0,93.69,476.6,results/tripinfo_ai.xml
