id,depart,arrival,duration,waitingTime,timeLoss,routeLength
199,995.0,1197.0,202.0,109.0,152.09,936.68
220,1100.0,1197.0,97.0,35.0,66.06,753.78
222,1110.0,1200.0,90.0,25.0,57.1,659.07
181,905.0,1204.0,299.0,190.0,255.11,1017.59
197,985.0,1206.0,221.0,118.0,169.76,890.67
158,812.0,1220.0,408.0,313.0,373.78,744.04
215,1075.0,1221.0,146.0,92.0,127.4,452.03
210,1050.0,1222.0,172.0,103.0,141.47,884.66
201,1005.0,1225.0,220.0,108.0,165.5,1194.78
178,890.0,1226.0,336.0,246.0,308.85,721.73
192,960.0,1229.0,269.0,135.0,222.78,1269.87
243,1215.0,1262.0,47.0,0.0,22.26,539.68
233,1165.0,1265.0,100.0,84.0,96.7,63.59
213,1065.0,1267.0,202.0,135.0,182.32,459.59
212,1060.0,1269.0,209.0,116.0,163.01,1009.69
168,840.0,1270.0,430.0,245.0,354.24,1798.41
189,945.0,1270.0,325.0,203.0,271.68,1334.45
217,1085.0,1270.0,185.0,87.0,147.85,1037.81
230,1150.0,1274.0,124.0,68.0,100.23,584.36
218,1093.0,1276.0,183.0,97.0,151.38,850.98
242,1210.0,1278.0,68.0,13.0,37.93,641.51
228,1140.0,1279.0,139.0,53.0,104.24,907.97
195,975.0,1291.0,316.0,215.0,269.08,965.49
221,1105.0,1292.0,187.0,114.0,156.91,839.14
216,1080.0,1310.0,230.0,152.0,197.79,663.97
219,1095.0,1313.0,218.0,99.0,158.81,1344.71
208,1040.0,1317.0,277.0,153.0,220.96,1204.93
184,920.0,1353.0,433.0,306.0,386.52,1024.12
235,1175.0,1358.0,183.0,100.0,149.78,764.93
267,1335.0,1359.0,24.0,5.0,17.48,123.88
202,1010.0,1361.0,351.0,203.0,289.02,1422.15
226,1130.0,1361.0,231.0,137.0,198.1,974.06
236,1180.0,1361.0,181.0,73.0,130.38,1368.86
249,1245.0,1362.0,117.0,53.0,84.6,743.38
259,1295.0,1365.0,70.0,21.0,46.23,452.68
245,1225.0,1371.0,146.0,91.0,122.45,608.06
209,1045.0,1377.0,332.0,195.0,276.17,1319.87
229,1145.0,1380.0,235.0,126.0,189.28,1006.01
266,1330.0,1385.0,55.0,9.0,31.97,410.32
239,1217.0,1389.0,172.0,93.0,140.38,922.35
240,1200.0,1397.0,197.0,128.0,165.55,779.49
205,1025.0,1402.0,377.0,265.0,327.38,1269.27
224,1120.0,1404.0,284.0,207.0,256.92,634.43
257,1285.0,1411.0,126.0,66.0,105.19,676.42
246,1230.0,1418.0,188.0,134.0,167.08,498.6
238,1190.0,1420.0,230.0,144.0,196.76,810.13
247,1235.0,1423.0,188.0,79.0,141.44,1202.02
250,1250.0,1450.0,200.0,122.0,165.46,834.94
225,1125.0,1451.0,326.0,205.0,274.76,1263.23
261,1305.0,1452.0,147.0,72.0,111.24,836.66
234,1170.0,1454.0,284.0,208.0,255.34,601.9
251,1255.0,1460.0,205.0,103.0,157.0,1069.17
241,1205.0,1461.0,256.0,179.0,231.74,612.72
248,1240.0,1470.0,230.0,133.0,190.77,1048.46
265,1325.0,1476.0,151.0,59.0,104.86,858.25
277,1385.0,1487.0,102.0,32.0,73.15,872.28
269,1345.0,1488.0,143.0,108.0,134.42,234.01
264,1320.0,1489.0,169.0,66.0,127.6,981.4
223,1115.0,1492.0,377.0,237.0,331.3,1293.46
232,1249.0,1493.0,244.0,183.0,223.02,488.66
254,1270.0,1493.0,223.0,126.0,180.59,879.1
258,1290.0,1493.0,203.0,118.0,169.43,777.29
275,1375.0,1508.0,133.0,68.0,101.75,811.97
244,1220.0,1540.0,320.0,173.0,244.38,1767.6
284,1420.0,1540.0,120.0,52.0,75.0,856.38
294,1470.0,1540.0,70.0,19.0,44.22,613.99
302,1510.0,1543.0,33.0,10.0,22.95,236.83
256,1280.0,1549.0,269.0,145.0,217.18,1255.89
227,1135.0,1550.0,415.0,240.0,345.51,1716.32
252,1260.0,1551.0,291.0,217.0,263.25,656.03
263,1315.0,1553.0,238.0,170.0,212.6,566.23
278,1390.0,1555.0,165.0,87.0,129.93,903.41
287,1435.0,1559.0,124.0,63.0,93.94,671.2
253,1266.0,1564.0,298.0,240.0,278.62,435.92
260,1300.0,1565.0,265.0,121.0,191.92,1288.33
301,1505.0,1566.0,61.0,4.0,29.48,718.54
281,1405.0,1571.0,166.0,121.0,150.0,344.21
276,1380.0,1574.0,194.0,80.0,127.85,1314.62
286,1430.0,1582.0,152.0,65.0,113.92,971.45
170,850.0,1583.0,733.0,686.0,714.94,469.51
293,1465.0,1583.0,118.0,58.0,100.09,502.92
285,1425.0,1600.0,175.0,89.0,143.52,751.46
282,1410.0,1626.0,216.0,117.0,176.99,907.95
307,1535.0,1626.0,91.0,39.0,72.68,438.3
295,1475.0,1627.0,152.0,104.0,122.97,738.12
272,1360.0,1629.0,269.0,170.0,235.86,863.31
290,1450.0,1629.0,179.0,120.0,156.69,442.08
292,1460.0,1633.0,173.0,69.0,126.24,1063.42
237,1185.0,1634.0,449.0,282.0,369.71,1566.61
274,1370.0,1649.0,279.0,186.0,241.12,737.09
279,1395.0,1651.0,256.0,162.0,210.08,972.49
283,1415.0,1653.0,238.0,113.0,183.59,1428.26
268,1340.0,1658.0,318.0,202.0,268.14,1232.37
273,1365.0,1660.0,295.0,233.0,270.65,482.27
255,1275.0,1661.0,386.0,264.0,332.25,981.43
304,1520.0,1663.0,143.0,108.0,131.9,272.89
306,1533.0,1675.0,142.0,84.0,122.25,476.6
271,1357.0,1676.0,319.0,186.0,258.14,1213.24
309,1545.0,1679.0,134.0,81.0,115.36,445.68
299,1495.0,1696.0,201.0,125.0,178.06,642.11
339,1695.0,1715.0,20.0,14.0,17.82,22.04
296,1480.0,1718.0,238.0,146.0,205.6,883.8
270,1350.0,1720.0,370.0,247.0,319.26,1118.26
298,1490.0,1722.0,232.0,150.0,199.63,799.85
320,1600.0,1728.0,128.0,80.0,111.74,409.92
311,1555.0,1729.0,174.0,89.0,139.79,910.41
305,1525.0,1732.0,207.0,112.0,163.23,885.15
262,1310.0,1735.0,425.0,309.0,382.53,1129.76
331,1655.0,1735.0,80.0,31.0,63.86,374.08
333,1665.0,1736.0,71.0,28.0,48.73,421.89
316,1580.0,1741.0,161.0,67.0,129.53,866.41
310,1550.0,1755.0,205.0,115.0,155.86,754.07
324,1620.0,1758.0,138.0,64.0,96.77,855.16
325,1625.0,1759.0,134.0,55.0,102.09,822.34
291,1455.0,1769.0,314.0,199.0,265.94,1086.21
288,1440.0,1772.0,332.0,201.0,287.52,1224.5
337,1685.0,1775.0,90.0,40.0,58.61,454.39
329,1645.0,1778.0,133.0,72.0,108.48,536.17
308,1540.0,1803.0,263.0,167.0,228.17,939.73
340,1700.0,1809.0,109.0,64.0,96.81,362.01
336,1680.0,1810.0,130.0,67.0,101.2,567.23
360,1800.0,1810.0,10.0,0.0,6.52,105.0
354,1802.0,1817.0,15.0,0.0,6.17,202.59
318,1590.0,1820.0,230.0,100.0,177.9,1310.82
332,1660.0,1826.0,166.0,89.0,130.97,735.77
280,1400.0,1827.0,427.0,314.0,377.94,1244.22
347,1735.0,1838.0,103.0,21.0,64.2,808.02
352,1760.0,1843.0,83.0,12.0,42.9,940.14
322,1610.0,1850.0,240.0,136.0,188.51,1076.69
349,1745.0,1853.0,108.0,36.0,74.06,645.04
315,1575.0,1857.0,282.0,202.0,259.99,585.89
312,1560.0,1861.0,301.0,171.0,256.74,1246.15
338,1690.0,1861.0,171.0,93.0,136.0,789.4
297,1487.0,1862.0,375.0,297.0,348.17,591.61
343,1715.0,1895.0,180.0,126.0,160.62,401.28
289,1445.0,1898.0,453.0,273.0,400.87,1599.79
321,1605.0,1898.0,293.0,180.0,245.09,1088.87
330,1650.0,1899.0,249.0,155.0,209.48,816.44
303,1515.0,1902.0,387.0,267.0,344.66,1078.83
313,1565.0,1904.0,339.0,241.0,304.63,739.59
317,1585.0,1905.0,320.0,235.0,285.26,874.16
314,1570.0,1907.0,337.0,208.0,287.55,1533.08
346,1730.0,1908.0,178.0,95.0,148.27,844.1
341,1705.0,1910.0,205.0,118.0,153.54,987.63
334,1670.0,1916.0,246.0,153.0,213.32,983.48
328,1640.0,1919.0,279.0,164.0,232.37,1204.11
353,1765.0,1923.0,158.0,84.0,128.99,756.91
357,1785.0,1942.0,157.0,100.0,131.33,475.83
367,1835.0,1943.0,108.0,46.0,76.36,738.18
373,1865.0,1944.0,79.0,32.0,58.9,356.96
335,1675.0,1945.0,270.0,174.0,227.45,831.42
342,1710.0,1946.0,236.0,152.0,201.39,762.13
344,1720.0,1946.0,226.0,123.0,181.34,908.56
368,1840.0,1946.0,106.0,52.0,86.51,492.78
385,1925.0,1982.0,57.0,14.0,39.29,373.75
359,1795.0,1985.0,190.0,116.0,160.94,597.42
348,1745.0,1986.0,241.0,187.0,220.79,526.9
355,1775.0,1988.0,213.0,123.0,176.98,968.03
326,1630.0,1991.0,361.0,228.0,309.21,1231.66
