id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
511,1022.0,1279.0,257.0,142.0,209.2,1177.64,results/tripinfo_ai.xml
543,1086.0,1280.0,194.0,69.0,127.86,1549.15,results/tripinfo_ai.xml
552,1104.0,1281.0,177.0,112.0,156.69,448.25,results/tripinfo_ai.xml
415,830.0,1283.0,453.0,337.0,419.54,919.88,results/tripinfo_ai.xml
625,1250.0,1284.0,34.0,31.0,33.13,9.56,results/tripinfo_ai.xml
350,700.0,1287.0,587.0,453.0,544.63,1021.54,results/tripinfo_ai.xml
423,846.0,1287.0,441.0,343.0,410.26,725.2,results/tripinfo_ai.xml
466,932.0,1289.0,357.0,229.0,311.02,1025.08,results/tripinfo_ai.xml
539,1078.0,1289.0,211.0,175.0,204.99,174.9,results/tripinfo_ai.xml
592,1184.0,1289.0,105.0,49.0,86.14,626.92,results/tripinfo_ai.xml
500,1021.0,1290.0,269.0,163.0,235.28,928.6,results/tripinfo_ai.xml
613,1226.0,1292.0,66.0,24.0,46.22,354.19,results/tripinfo_ai.xml
420,840.0,1294.0,454.0,309.0,397.51,1259.53,results/tripinfo_ai.xml
485,970.0,1295.0,325.0,215.0,291.6,900.59,results/tripinfo_ai.xml
494,988.0,1297.0,309.0,209.0,281.24,840.88,results/tripinfo_ai.xml
580,1160.0,1297.0,137.0,49.0,95.09,1046.7,results/tripinfo_ai.xml
440,880.0,1306.0,426.0,368.0,402.83,416.11,results/tripinfo_ai.xml
490,980.0,1306.0,326.0,206.0,284.21,1065.29,results/tripinfo_ai.xml
506,1012.0,1309.0,297.0,185.0,255.28,1017.73,results/tripinfo_ai.xml
616,1232.0,1313.0,81.0,29.0,60.32,535.16,results/tripinfo_ai.xml
562,1124.0,1323.0,199.0,86.0,149.02,1027.43,results/tripinfo_ai.xml
646,1293.0,1324.0,31.0,3.0,17.23,262.59,results/tripinfo_ai.xml
559,1118.0,1329.0,211.0,120.0,178.99,683.83,results/tripinfo_ai.xml
600,1200.0,1329.0,129.0,93.0,114.35,244.67,results/tripinfo_ai.xml
512,1024.0,1330.0,306.0,232.0,284.28,516.94,results/tripinfo_ai.xml
501,1002.0,1336.0,334.0,231.0,302.21,689.85,results/tripinfo_ai.xml
525,1050.0,1336.0,286.0,183.0,244.78,772.11,results/tripinfo_ai.xml
554,1108.0,1336.0,228.0,187.0,217.36,196.52,results/tripinfo_ai.xml
655,1310.0,1336.0,26.0,2.0,14.88,189.05,results/tripinfo_ai.xml
596,1192.0,1337.0,145.0,69.0,115.79,640.09,results/tripinfo_ai.xml
538,1076.0,1338.0,262.0,174.0,233.6,607.04,results/tripinfo_ai.xml
583,1166.0,1338.0,172.0,109.0,148.99,565.93,results/tripinfo_ai.xml
598,1196.0,1338.0,142.0,64.0,119.02,655.95,results/tripinfo_ai.xml
